name,review_count,categories,latitude,longitude,rating,price,neighbourhood,city,address
Lin's Asian Fusion,125,Asian Fusion,40.4283,-79.97682,3.5,$$,Shadyside,Pittsburgh,"2018 E Carson St,Pittsburgh, PA 15203"
The Wheel Mill,11,"Skate Parks,Mountain Biking,Summer Camps",40.456639393387,-79.906049277116,4.5,$,Shadyside,Pittsburgh,"6815 Hamilton Ave,Pittsburgh, PA 15208"
Hello Bistro,83,"Salad,Cafes,Burgers",40.428359,-79.978196,3.5,$,Shadyside,Pittsburgh,"1922 E Carson St,Pittsburgh, PA 15203"
Pizza Bellino,80,"Pizza,Salad,Chicken Wings",40.43824,-79.92142,3.0,$,Shadyside,Pittsburgh,"5839 Forbes Ave,Pittsburgh, PA 15217"
Hambone's Neighborhood Bar and Grill,98,"Pubs,American (New),Burgers",40.470474,-79.960431,3.5,$,Shadyside,Pittsburgh,"4207 Butler St,Pittsburgh, PA 15201"
Howlers,28,"Bars,Music Venues",40.46309,-79.95124,3.5,$,Shadyside,Pittsburgh,"4509 Liberty Ave,Pittsburgh, PA 15224"
Bartram House Bakery & Cafe,113,"Cafes,Bakeries,Desserts",40.427132,-79.968175,3.5,$$,Shadyside,Pittsburgh,"2612 E Carson St,Pittsburgh, PA 15203"
The Café Carnegie,49,American (New),40.44341,-79.94884,3.0,$$,Shadyside,Pittsburgh,"4400 Forbes Ave,Pittsburgh, PA 15213"
Little Nipper's Pizza II,50,"Pizza,Italian",40.45063173526,-79.951033198282,3.0,$$,Shadyside,Pittsburgh,"216 N Craig St,Pittsburgh, PA 15213"
Dana's Bakery,20,Bakeries,40.45609,-79.89649,5.0,$,Shadyside,Pittsburgh,"720 N Homewood Ave,Pittsburgh, PA 15208"
V3 Flatbread Pizza,59,Pizza,40.47202,-79.9589,4.0,$,Shadyside,Pittsburgh,"4500 Butler St,Pittsburgh, PA 15201"
The Forge,27,"Lounges,Mediterranean,Cocktail Bars",40.462559,-79.967575,4.5,$,Shadyside,Pittsburgh,"3345 Penn Ave,Pittsburgh, PA 15201"
Nico's Recovery Room,36,"American (Traditional),Bars",40.46371,-79.94898,3.5,$,Shadyside,Pittsburgh,"178 Pearl St,Pittsburgh, PA 15224"
Pittsburgh's Bridges and Tunnels,8,"Landmarks & Historical Buildings,Local Flavor",40.444374,-79.941817,4.5,$,Shadyside,Pittsburgh,"Pittsburgh, PA 15289"
Crazy Mocha,33,Coffee & Tea,40.46288,-79.95086,3.5,$,Shadyside,Pittsburgh,"4525 Liberty Ave,Pittsburgh, PA 15224"
Starbucks,29,Coffee & Tea,40.430608,-79.923239,4.0,$$,Shadyside,Pittsburgh,"2345 Murray Ave,Ste 110,Pittsburgh, PA 15217"
Mad Noodles,110,"Bubble Tea,Ramen,Noodles",40.4288,-79.97688,3.5,$$,Shadyside,Pittsburgh,"2017 E Carson St,Pittsburgh, PA 15203"
Graziano's Pizzeria,41,Pizza,40.46594,-79.95486,4.0,$,Shadyside,Pittsburgh,"4109 Penn Ave,Pittsburgh, PA 15224"
Starbucks,34,Coffee & Tea,40.44455,-79.948566,3.5,$$,Shadyside,Pittsburgh,"417 South Craig St,Pittsburgh, PA 15213"
Lotsa Stone Fired Pizza,61,Pizza,40.4411185,-79.9578237,3.5,$,Shadyside,Pittsburgh,"3621 Forbes Ave,Pittsburgh, PA 15213"
Starbucks,21,Coffee & Tea,40.461067,-79.947637,3.5,$$,Shadyside,Pittsburgh,"4765 Liberty Ave,Pittsburgh, PA 15224"
Lola's Eatery,33,"Breakfast & Brunch,Filipino,Bakeries",40.4624012,-79.96786,4.0,$,Shadyside,Pittsburgh,"3337 Penn Ave,Pittsburgh, PA 15201"
Yukiyama  Japanese Restaurant,31,"Sushi Bars,Ramen,Teppanyaki",40.4331755747412,-79.9228979194488,4.0,$$,Shadyside,Pittsburgh,"2121 Murray Ave,Pittsburgh, PA 15217"
Mama Rose,11,Caribbean,40.4639893,-79.9153137,4.5,$,Shadyside,Pittsburgh,"121 Mayflower St,Pittsburgh, PA 15206"
